date,site,transect,sample_period,diptera,spider,lepidoptera,thysanoptera,dermaptera,chrysopidae,hemerobiidae,acrididae,tettigoniidae,raphidiidae,ciccadellidae,delphacidae,dictyopharidae,cercopidae,membracidae,miridae,rhopalidae,nabidae,scutelleridae,pentatomidae,pentatomoidea,psyllidae,lygaeidae,anthocoridae,reduviidae,tingidae,phymatidae,caliscelidae,alydidae,berytidae,rhyparochromidae,piesmatidae,aphididae,melyridae,scraptiidae,coccinellidae,chrysomelidae,curculionidae,cerambycidae,endomychidae,cleridae,bruchidae,mordellidae,buprestidae,staphylinidae,elateridae,latriidae,corylophidae,leiodidae,meloidae,carabidae,ichneumonidae,braconidae,cephidae,halictidae,microhymenoptera,formicidae,chrysididae,bethylidae,drynidae,andrenidae,megachilidae,vespidae,crabronidae,tenthredinidae,pompillidae,sphecidae,apidae,ephemeroptera,collembula,mantidae,coenagrionidae,psocoptera
5/27/2021,PCEI,2,1,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/27/2021,PCEI,3,1,,2,,,,,,,,,60,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2021,PCEI,4,1,2,,,5,,,,1,,,70,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
5/27/2021,PCEI,5,1,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2021,PCEI,6,1,1,3,,,,,,,,,16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,1,2,2,,,,,,,,,,39,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,2,2,,,,,,,,,,,122,2,,,,4,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,3,2,2,,,1,,,,,,,140,,,,,4,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,4,2,34,1,1,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,5,2,1,1,,,,,,,,,70,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2021,PCEI,6,2,29,2,1,,,,,,,,77,,,2,,13,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7/8/2021,PCEI,1,3,1,3,,6,,,,1,,,11,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021,PCEI,2,3,4,,1,87,,,,,,,292,5,,2,,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021,PCEI,3,3,,2,,89,,,,1,,,101,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021,PCEI,4,3,,3,,185,,,,2,,,281,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,
7/8/2021,PCEI,5,3,,8,,19,,,,,,,36,,,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
7/8/2021,PCEI,6,3,,3,,70,,,,,,,138,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/10/2021,Petty,1,1,14,,,,,,,2,,,37,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,Petty,2,1,1,,,,,,,,,,25,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,Petty,3,1,1,,,,,,2,1,,,7,1,,,,62,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,Petty,4,1,6,,,,,,,,6,,38,,,,,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/10/2021,Petty,5,1,5,1,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,Petty,6,1,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,1,2,3,2,,,,,,1,,,8,,,,,19,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,2,2,10,,,,,,,6,,,54,,,,,11,1,,,,,7,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,3,2,2,,1,,,,,,,,28,,,,,1,,,,,,,,,1,,,,,,,,,1,,2,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,4,2,1,1,,,,,,,,,32,1,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,5,2,15,4,,,,,,1,,,22,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
5/31/2021,Petty,6,2,3,1,1,,,,,2,,,8,1,,,,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/21/2021,Petty,1,3,,4,,,,,,,,,9,,1,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,
6/21/2021,Petty,2,3,4,3,3,,,,,10,,,12,,,,,27,,6,,,,,,,,,,,,,,,,1,6,1,,8,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,
6/21/2021,Petty,3,3,9,6,6,36,,,,1,,,295,,,,,10,,3,1,,,,,,,,,,,,,,,14,,,4,1,,,,,,,,,,,,,,,1,,,93,13,,1,,,,,,,,,,,,,,
6/21/2021,Petty,4,3,4,1,,17,,,,1,,,38,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,
6/21/2021,Petty,5,3,10,1,6,9,,,,13,,,360,,,,,8,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,
6/21/2021,Petty,6,3,30,7,3,10,,,,1,2,,139,,,,,14,,2,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,25,3,,,,,,,,,,,,,,,,
5/12/2021,Philips,1,1,2,3,,,,,,,1,,36,,,,,3,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
5/12/2021,Philips,2,1,,5,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,Philips,3,1,1,,,,,,,,,,25,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,Philips,4,1,4,,,,,,,,1,,20,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,Philips,5,1,4,3,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,Philips,6,1,14,,,9,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Philips,1,2,2,1,,,,,,1,,,112,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,
6/2/2021,Philips,2,2,9,1,,,,,,,,,22,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
6/2/2021,Philips,3,2,,,,,,,,,,,16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
6/2/2021,Philips,4,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6/2/2021,Philips,5,2,2,1,,,,,,,,,7,,,2,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Philips,6,2,,,,,,,,,,,19,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,1,,,,,,
6/23/2021,Philips,1,3,8,1,1,15,,,,,,,215,11,,1,,13,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,26,3,,,,,,2,,,,,,,,,,
6/23/2021,Philips,2,3,7,2,4,,1,,,,,,1430,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,
6/23/2021,Philips,3,3,1,,,,,,,,,,84,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,
6/23/2021,Philips,4,3,,3,,,,,,,,,19,,,3,,5,,,1,,,,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6/23/2021,Philips,5,3,4,4,,,,,,,,,12,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,
6/23/2021,Philips,6,3,4,1,1,10,,,,,,,101,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,76,2,,,,,,,,,,,,,,,,
5/13/2021,Robinson,1,1,2,1,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,1,72,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/13/2021,Robinson,2,1,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2021,Robinson,3,1,3,2,1,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5/13/2021,Robinson,4,1,5,,,,,,,3,,,14,,,,,5,,2,,,,,1,,,,,,,3,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
5/13/2021,Robinson,5,1,2,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,
5/13/2021,Robinson,6,1,9,1,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,4,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,1,2,,4,,,,,,,,,5,1,,,,5,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,2,2,,,,,,,,,,,8,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,3,2,1,2,,1,,,,,,,16,2,,,,18,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,4,2,1,,,,1,,,1,,,7,,,,,12,,,2,,,,2,,,,,,,3,,,1,1,,,2,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,5,2,3,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/2/2021,Robinson,6,2,20,3,,,,,,,,,25,20,,,,41,,,4,,,2,,,,,,,,1,,,2,,,,,,,,1,1,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
6/23/2021,Robinson,1,3,3,3,,2,,,,,,,5,,,1,,29,,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
6/23/2021,Robinson,2,3,5,5,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,
6/23/2021,Robinson,3,3,17,8,,,1,,,,,,6,,,6,,19,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,
6/23/2021,Robinson,4,3,18,2,,,,,,,,,11,,,2,,14,,,,,1,,,,,,,,,,,,5,,,,9,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
6/23/2021,Robinson,5,3,10,4,,,,1,,1,,,59,1,,2,1,14,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,,,,,,,,,,,
6/23/2021,Robinson,6,3,50,26,,,3,,,,,,22,6,,2,,48,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,3,,,26,4,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,1,1,3,,,,,,,,,,17,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,2,1,3,,,,,,,,,,19,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,3,1,4,1,,1,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,4,1,2,,1,,,,,,,,6,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,5,1,3,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,Rose Creek,6,1,2,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,1,2,,1,,,,,,,,,62,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,2,2,1,1,,,,,,,,,22,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,3,2,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,4,2,11,1,,,,,,,,,19,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,5,2,39,,1,,,,,,,,28,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,Rose Creek,6,2,,,,,,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,1,3,,,,11,,,,1,,,107,,,,,,,,,,,,1,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,2,3,,,,,,,,,,,149,3,,4,,2,,,,,1,1,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,26,13,2,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,3,3,2,2,,12,,,,,,,77,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,4,3,4,1,5,78,,,,2,,,1158,,,4,,1,,1,1,,,30,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,5,3,3,2,3,91,,,,,,,582,2,,,,11,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,92,1,,,,,,,,,,,,,,,,
7/1/2021,Rose Creek,6,3,4,2,,136,,,,,2,,1394,1,,1,,2,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,1,,,,1,,
5/17/2021,Schlee,1,1,14,1,,,,,,2,,,32,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schlee,2,1,34,1,,,,,,,,,64,,,,,3,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schlee,3,1,6,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schlee,4,1,10,1,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
5/17/2021,Schlee,5,1,6,1,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/17/2021,Schlee,6,1,37,1,,,,1,,1,,,60,,,,,1,,,,,,,4,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,1,2,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,2,2,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,3,2,5,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,4,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,5,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schlee,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2021,Schlee,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2021,Schlee,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2021,Schlee,3,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
6/28/2021,Schlee,4,3,1,4,,2,,,,,,,13,,,,,,,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
6/28/2021,Schlee,5,3,1,2,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
6/28/2021,Schlee,6,3,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,1,1,4,,,,,,,2,,,52,,,,,9,,,,,,23,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,2,1,,,,,,,,,,,30,,,,,10,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,3,1,4,2,,,,,,1,,,14,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,4,1,,,,,,,,,,,16,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,5,1,8,2,,,,,,2,,,75,,,,,1,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
5/17/2021,Schultheis,6,1,7,1,,,,,,,,,13,,,,,12,,,,,1,6,,,,,,,,,,,,,,9,,2,,,,1,1,,1,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,
6/7/2021,Schultheis,1,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,Schultheis,2,2,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6/7/2021,Schultheis,3,2,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,
6/7/2021,Schultheis,4,2,16,,,,,,,,,,4,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,
6/7/2021,Schultheis,5,2,61,,,,,,,1,,,26,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
6/7/2021,Schultheis,6,2,26,,,,,,,,,,9,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,1,,2,,,,,,,,,,,,,,,,,
6/28/2021,Schultheis,1,3,4,1,,3,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,
6/28/2021,Schultheis,2,3,1,1,,6,,,,,,,22,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
6/28/2021,Schultheis,3,3,1,4,,22,,,,1,,,53,,,,,6,,,,,,,,2,,,,,,,,,,7,3,,1,1,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,
6/28/2021,Schultheis,4,3,2,5,,15,,,,3,,,38,13,,7,,8,,,,,,,,3,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,
5/11/2021,Schuster,1,1,16,,1,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,
5/11/2021,Schuster,2,1,4,2,,,,,,9,,,17,,,,,1,,,,,,,,,,,,,,1,,,2,2,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2021,Schuster,3,1,7,,,,,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2021,Schuster,4,1,10,,,1,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5/11/2021,Schuster,5,1,7,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
5/11/2021,Schuster,6,1,,,,,,,,,,,9,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021,Schuster,1,2,1,,,,,,,,,,9,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
6/1/2021,Schuster,2,2,1,,,,,,,,,,12,,,,,1,,2,,,,1,,,,,,,,,,,,3,2,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
6/1/2021,Schuster,3,2,,1,,,,,,,,,16,2,,,,,,1,,,,,23,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
6/1/2021,Schuster,4,2,,,,,,,,,,,8,,,,,,,2,,,,,11,,,,,,,,,,4,5,1,,,,,,,9,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
6/1/2021,Schuster,5,2,,2,,,,,,,,,1,,,,,,,2,,,,,59,,,,,,,,,,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021,Schuster,6,2,1,2,,,,,,,,,30,,,,,,,1,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6/22/2021,Schuster,1,3,6,,,76,,,,,,,2,,,,,1,,,,,,1,1,,,,,,,,,,4,,6,1,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,
6/22/2021,Schuster,2,3,5,2,,83,,,,,,,5,,,,,2,,1,,,3,,1,,,,,,,,,,5,1,9,,,,,,,,,,,,,,,,,,,,,46,2,,,,,,,,,,,,,,,,
6/22/2021,Schuster,3,3,1,19,,13,,1,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
6/22/2021,Schuster,4,3,5,1,,,,,,,,,17,3,,,,,,,,,,,3,,,,,,,,,,,,2,,,2,,,,1,,,,,,,,,,,1,,,105,,,,,,,,,,,,,,,,,
6/22/2021,Schuster,5,3,18,6,,13,,1,,,,,11,,,,,,,1,,,1,5,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,1,,,,,,,
